PDBID,pK
1c70,10.3
1c7e,6.3
1c7f,9.52
1bxr,3.4
1c84,5.0
1c86,4.7
1c83,4.85
1c29,6.33
1c85,4.64
1c87,4.2
1ce5,4.74
1ca8,9.49
1c88,5.29
1cbr,9.4
1caq,7.72
1ceb,6.0
1cea,4.96
1cbx,6.35
1cgl,6.87
1c50,6.48
1cil,9.43
1ch8,7.0
1ciz,7.44
1cim,8.82
1ci7,7.05
1ckb,5.28
1cka,5.72
1cj1,8.8
1clu,8.27
1cnw,7.72
1cny,7.85
1cp6,5.0
1cnx,7.37
1cqp,5.62
1cpi,7.41
1c8v,6.33
1c9d,6.3
1cs4,5.57
1cr6,8.51
1csh,7.55
1ctr,6.0
1csi,8.8
1cwb,7.89
1csr,7.38
1cwc,7.8
1ctt,4.52
1ctu,11.92
1cyn,7.68
1css,6.1
1czc,2.82
1cze,2.62
1czk,8.82
1ct8,6.52
1czl,9.15
1czq,4.54
1czo,4.55
1czr,9.0
1d04,4.59
1d2s,9.74
1d1p,3.6
1d3d,9.09
1cw2,6.15
1d3p,7.39
1d3q,6.54
1d4h,10.0
1d4i,8.85
1d4j,8.36
1d4l,8.77
1d4k,9.22
1d4p,6.3
1d3v,6.96
1d4t,6.19
1d5j,9.15
1d4w,6.92
1d4y,11.1
1d5r,1.82
1d6n,4.5
1d6v,6.17
1d7i,3.6
1d7j,3.3
1d6w,5.96
1d8f,7.74
1d7x,8.52
1d8m,8.51
1d9i,9.11
1db1,9.26
1d8e,6.6
1db4,7.24
1db5,6.82
1dbb,9.0
1dar,4.96
1ddm,5.77
1dbk,8.1
1cx9,6.75
1dbj,7.68
1det,4.3
1dg9,2.74
1dgm,5.05
1df8,9.7
1dfo,6.7
1dhi,7.26
1dhj,6.55
1d2e,6.0
1di8,6.0
1dif,10.66
1dkd,5.7
1dis,11.0
1di9,5.3
1dmp,9.55
1dl7,6.49
1dpu,6.0
1dmb,5.74
1dm2,7.15
1d6s,4.11
1drj,7.4
1drk,6.82
1doj,8.96
1dqn,8.0
1dqx,11.05
1dth,8.22
1dmt,8.7
1d09,7.57
1dva,8.07
1dud,4.82
1dtq,8.22
1dwc,7.41
1drv,6.54
1dxp,7.57
1dwd,8.18
1dzk,6.1
1dy4,4.36
1dzj,5.89
1dzp,5.44
1dzm,5.41
1dtt,8.3
1e00,6.1
1e02,6.15
1e06,5.6
1e1v,4.92
1e03,9.4
1duv,11.8
1e1x,5.89
1dx6,6.19
1e34,2.88
1e37,3.7
1e3g,9.0
1e3v,4.34
1e2l,4.29
1e2k,4.94
1dub,5.8
1e5j,4.0
1e4h,8.41
1e5a,7.64
1cps,6.66
1e55,4.12
1e66,9.89
1cin,8.73
1e6q,3.15
1cet,2.89
1eb2,6.01
1eas,7.74
1e9h,7.46
1e6s,3.22
1eat,7.82
1ebw,9.05
1eb1,10.43
1eby,9.7
1c8k,6.0
1ebz,9.4
1ec0,8.49
1ec1,8.92
1ec3,9.04
1e72,3.22
1ec2,10.0
1c8l,8.16
1eed,4.79
1ecv,4.85
1ebg,10.82
1eef,2.92
1efy,8.22
1eei,3.15
1e1y,5.6
1eix,11.06
1ej4,7.3
1ejn,5.62
1ecq,3.0
1ec9,3.1
1ekb,6.0
1egh,5.7
1ela,6.36
1elb,7.15
1elc,6.66
1eld,6.7
1ek2,8.2
1ek1,7.77
1ele,6.85
1elr,4.96
1ent,6.96
1enu,5.08
1eoc,6.05
1eol,13.42
1eoj,13.77
1efi,1.92
1epo,7.96
1els,10.82
1erb,8.1
1eou,7.44
1epp,7.16
1ero,8.23
1erq,7.89
1epq,8.19
1esz,6.52
1eub,8.72
1ets,8.22
1ett,5.89
1err,8.11
1evh,3.22
1e8h,5.68
1etz,7.24
1exw,3.9
1ex8,6.33
1ewj,7.49
1eve,8.24
1ezq,9.05
1f0s,7.74
1f0q,6.0
1ezf,7.25
1em6,8.22
1ew8,2.26
1ez9,5.1
1f0r,7.66
1f1j,8.8
1f0u,7.16
1ew9,3.22
1f0t,6.0
1f2o,1.91
1f40,6.0
1f2p,1.9
1f47,4.67
1f28,7.8
1f3e,6.7
1f4x,5.59
1f4e,2.96
1f4y,6.08
1f4f,4.62
1f3j,5.22
1f5k,3.74
1f4g,6.48
1f57,5.64
1f8a,5.0
1f5l,5.28
1exv,7.35
1f92,6.19
1f90,7.92
1f9e,8.7
1f73,2.39
1fao,7.37
1f74,3.05
1f7b,4.6
1fax,7.39
1f9g,1.28
1fbm,6.22
1f8b,5.4
1fch,7.15
1fcx,7.19
1fcy,8.52
1fcz,9.22
1fdq,7.27
1f8c,7.4
1fd0,8.4
1fe3,7.33
1ff1,4.92
1fh8,6.89
1fgi,5.0
1f8e,4.82
1fh9,6.43
1fd7,1.85
1f8d,3.4
1fhr,4.0
1fkb,9.7
1fh7,5.24
1fhd,6.82
1fiv,6.59
1fkh,8.15
1fkg,8.0
1fig,6.22
1fjs,9.96
1fkf,9.4
1fki,7.0
1fkw,5.05
1fkn,8.8
1fl3,6.8
1flm,9.37
1fl6,7.43
1fls,7.48
1fj4,4.59
1flr,10.0
1fmb,10.0
1fpc,7.0
1fm9,9.0
1fo2,4.7
1fo3,6.7
1fq4,6.4
1fo0,5.59
1fq5,8.4
1fq7,5.43
1fq6,7.86
1fq8,6.03
1fpp,8.0
1ft4,6.57
1fsw,6.49
1ft7,5.18
1fsy,6.82
1fpi,5.89
1ftj,6.09
1ftk,4.84
1fsg,5.02
1ftm,7.61
1fv0,5.93
1fv9,5.0
1fw0,5.43
1fpy,6.0
1ftl,6.0
1fvt,7.22
1fwu,3.7
1fwv,3.72
1fyr,5.62
1fvv,8.0
1fzj,8.1
1fzm,7.7
1fwe,5.6
1fzq,7.62
1fzk,8.4
1g2a,8.0
1g05,8.51
1fzo,7.89
1fta,6.36
1g1e,7.54
1g27,8.15
1g2m,7.4
1g2k,7.96
1g32,6.11
1g1d,9.44
1g2l,7.24
1g30,6.85
1g36,7.17
1g35,8.14
1g3b,5.74
1g3c,5.8
1g3d,5.55
1g3f,6.37
1g3e,5.38
1g37,10.0
1g42,3.01
1g2o,10.55
1g49,7.8
1g45,8.64
1g46,8.8
1g4k,5.7
1g3m,10.0
1g48,8.41
1g50,6.28
1g4o,8.25
1g4j,8.7
1g5f,2.64
1g5s,7.32
1g52,9.54
1g54,8.82
1g53,9.04
1g74,6.52
1g6g,6.28
1g7f,5.47
1g7g,6.6
1g85,5.48
1g6s,5.15
1g7p,7.05
1g7v,6.4
1g6r,4.27
1g7q,6.06
1g9r,5.7
1ga8,1.8
1g9a,5.3
1g98,5.7
1g9s,3.61
1g9b,5.3
1g9t,3.28
1ga9,7.08
1g9c,5.3
1gag,6.12
1gbq,2.46
1gaf,8.0
1gah,12.0
1gbt,2.0
1gca,6.7
1g9d,5.3
1gai,8.0
1gcz,5.13
1ggd,5.8
1gfw,7.82
1ghv,4.35
1ghy,8.1
1gfy,5.08
1gar,10.0
1ghz,4.8
1gi1,5.47
1gi4,7.19
1gi7,4.51
1ghw,4.2
1gi6,6.22
1gi8,5.05
1gi9,5.22
1gj5,4.96
1gj6,7.0
1gj4,4.07
1gj7,7.89
1gja,5.42
1gjb,6.35
1gj8,6.96
1gjc,6.35
1gni,8.07
1gnj,7.04
1gjd,5.22
1gnm,6.25
1gfz,4.0
1gnn,5.68
1gno,7.7
1gny,4.14
1gmy,7.35
1gt3,6.46
1gsf,5.0
1gpn,6.48
1gt1,6.0
1gqs,6.3
1gpk,5.37
1gu3,4.32
1gt5,6.1
1gt4,6.52
1gui,6.28
1guw,5.72
1ggn,5.51
1grp,3.72
1gvk,3.05
1gvu,9.0
1gux,6.96
1gvw,6.96
1gvx,7.22
1gwm,4.1
1gsz,7.21
1gwv,2.57
1gwr,6.6
1gwq,7.12
1gx8,6.37
1gx0,4.22
1gyx,2.48
1gww,3.59
1gx4,4.28
1gyy,3.64
1gz9,3.51
1gpy,4.7
1gzc,3.49
1gym,2.7
1gu1,4.52
1h00,4.42
1h07,5.52
1h01,4.66
1h0a,5.44
1h08,4.55
1h1h,5.22
1h0w,4.89
1h1d,8.22
1h1b,9.8
1gzv,6.57
1h1p,4.92
1h1q,6.0
1h0r,3.7
1h1r,5.64
1h1s,8.22
1h23,8.35
1h22,9.1
1h24,6.3
1gz4,3.7
1gz3,3.7
1h25,5.74
1gzg,3.05
1h27,5.6
1h26,5.54
1h28,6.52
1h2k,2.92
1h35,7.54
1h2t,7.89
1h36,7.74
1h3h,6.66
1h39,6.54
1h2u,7.89
1h37,7.23
1h4w,4.66
1h46,3.57
1h60,4.7
1h61,4.89
1h62,4.77
1h6e,6.15
1h3a,6.55
1h5v,3.93
1h3b,6.85
1h6h,5.3
1h3c,6.51
1h8s,5.81
1h9l,3.12
1h8l,7.47
1h9z,5.42
1haa,8.7
1h8y,7.7
1hbv,6.37
1ha2,5.54
1hc9,8.72
1hdq,5.82
1hdt,7.76
1h79,4.89
1hef,9.0
1h7a,4.72
1heg,7.74
1hee,5.34
1hi3,4.19
1hi4,4.49
1hgt,6.82
1hfs,8.7
1hi5,4.04
1hih,8.05
1hii,7.28
1hiv,9.0
1h5u,6.75
1hbj,8.52
1him,7.7
1hgj,1.66
1hge,2.27
1hk2,6.77
1hk1,5.64
1hiy,3.08
1hkj,8.59
1hgi,2.68
1hms,6.37
1hk3,6.59
1hk5,5.24
1hkk,7.4
1hmr,6.55
1hlk,5.0
1hk4,5.31
1hmt,5.79
1hkm,8.72
1hn2,6.0
1hnn,6.24
1hpo,9.22
1hos,8.55
1hn4,3.82
1hps,9.22
1hpx,11.26
1hpv,9.22
1hp5,6.55
1hp0,6.7
1hsg,9.42
1hs6,5.38
1hqf,5.0
1hqh,6.3
1hsh,9.42
1hq5,5.65
1hqg,3.0
1hrn,8.05
1h4n,4.92
1hte,5.64
1hsl,7.19
1htf,6.83
1htg,8.42
1hv5,8.3
1hvh,7.96
1hvi,10.92
1hvj,11.4
1hti,5.13
1hvk,10.96
1hvl,9.95
1hvr,9.51
1hvs,10.3
1hwr,8.33
1hxb,9.92
1hyz,3.42
1hty,1.4
1hxw,10.82
1hy7,5.39
1hyv,2.3
1hvy,6.54
1i2s,3.31
1i00,6.34
1i37,9.57
1hlf,5.64
1hyo,4.07
1hww,7.7
1hxk,3.4
1i3z,6.88
1i5h,4.28
1i5d,8.0
1i5r,8.52
1i1e,5.03
1i33,4.12
1i32,5.7
1i7g,6.0
1i7i,6.7
1i72,7.26
1i7c,6.4
1i7m,9.64
1i8h,4.54
1i41,4.57
1i43,3.7
1i7z,6.4
1i8i,7.66
1i8z,8.9
1i90,8.89
1i80,6.41
1i9l,8.48
1i91,8.94
1i9m,8.48
1i48,5.7
1i9n,8.66
1i9o,8.42
1iau,7.1
1i9p,8.41
1i9q,8.41
1ibg,8.55
1ida,8.7
1ibc,10.25
1idg,7.19
1icj,2.22
1idb,7.96
1ie9,10.19
1iep,7.0
1i6v,5.0
1if7,10.52
1i8j,4.41
1iem,7.7
1ih0,5.0
1if8,9.64
1iht,8.46
1iew,4.59
1ijr,5.44
1igj,10.0
1iiq,7.48
1iig,1.57
1ikt,3.4
1ii5,6.62
1igb,6.4
1il3,2.55
1il4,2.85
1il5,2.66
1ik4,7.41
1il9,3.4
1ikv,6.28
1ihy,3.74
1ikw,8.6
1imx,3.52
1ilh,7.39
1ilq,4.89
1ikx,8.15
1iky,8.26
1inc,9.34
1irs,5.22
1is0,7.0
1inq,6.27
1ind,10.05
1iq1,7.46
1iwq,8.06
1it6,8.39
1ivp,7.52
1iup,2.54
1iy7,6.19
1izh,7.7
1iyl,9.0
1izi,6.59
1j14,4.49
1j01,6.47
1j15,3.84
1j16,3.84
1ing,2.0
1inf,5.0
1j17,5.22
1j19,7.79
1j1a,7.54
1j4k,4.0
1j07,7.68
1j4p,4.99
1inh,2.3
1j5i,3.64
1j4q,6.44
1j4r,7.72
1j80,6.52
1j7z,7.7
1j81,7.1
1j36,7.74
1jao,5.92
1jbd,6.92
1jaq,4.48
1jd5,6.62
1jd6,7.39
1jak,5.57
1j37,8.96
1jet,7.25
1jd0,8.24
1jeu,6.82
1jev,6.89
1jdj,2.3
1jh1,4.39
1jgl,8.7
1jfh,2.05
1jif,6.2
1jcx,5.15
1jiz,8.7
1jg0,5.3
1jii,9.0
1jij,8.52
1jj9,5.77
1jje,8.43
1jjt,8.05
1jk7,8.52
1jld,6.73
1jil,8.4
1jmq,4.4
1jik,9.7
1jm4,5.0
1jjk,11.06
1jn2,4.09
1jlx,5.8
1jn4,4.95
1joc,4.62
1jmg,6.07
1jmf,5.77
1jpl,5.0
1jp5,9.22
1jlq,8.15
1jq8,6.0
1jq9,8.45
1jmi,6.06
1jlr,3.33
1jqe,6.44
1jqd,5.16
1jrs,6.4
1jt1,3.4
1jqy,4.92
1joj,4.22
1jsv,5.7
1juq,4.25
1jtq,8.07
1jvu,5.15
1juf,5.85
1jvp,5.8
1juj,6.96
1jut,7.32
1jq3,6.7
1jwm,3.57
1jwt,7.85
1jr1,8.22
1jyq,8.7
1jys,3.52
1jws,4.85
1jwu,5.34
1juy,7.66
1k03,6.0
1k1i,6.58
1k1j,7.55
1jzs,6.6
1jyc,4.34
1k1l,6.9
1k1m,7.4
1jyi,4.0
1k1o,6.17
1k1n,6.82
1k1p,7.92
1k21,8.38
1k22,8.4
1k2i,3.11
1k3q,6.52
1k2v,4.44
1k3n,4.99
1k1y,3.22
1k6p,7.36
1k6c,7.48
1k4h,5.11
1k6t,7.62
1k06,5.34
1k9q,3.15
1k08,5.34
1k9r,3.3
1k4g,5.85
1k6v,6.92
1ka7,6.22
1kat,6.0
1k27,9.0
1kak,4.59
1kav,5.82
1kc5,7.0
1kdk,9.05
1kds,5.77
1kdw,5.54
1ke3,6.7
1k3t,4.19
1ke0,5.38
1kcs,7.0
1ke5,6.25
1ke6,8.24
1ke7,8.05
1ke8,6.0
1kjr,6.06
1ke9,6.18
1kel,7.28
1kf0,2.55
1k9s,6.52
1kl3,5.86
1kll,5.2
1kl5,5.99
1kc7,5.52
1kf6,6.7
1klg,7.89
1kna,5.15
1kmv,6.95
1kne,5.6
1km3,4.91
1klu,7.6
1kpm,5.8
1kfy,5.28
1kqb,4.0
1kr3,5.0
1ktt,5.82
1kug,3.8
1kkq,6.62
1ksn,9.4
1kui,3.77
1kuk,3.91
1kv2,10.0
1kv1,5.94
1kv5,4.22
1kvo,7.89
1kwq,9.21
1kyn,5.39
1kwr,6.6
1koj,6.7
1kzk,10.39
1kzn,8.92
1iih,2.89
1kmy,5.1
1l2z,3.69
1l6m,8.1
1kyv,5.92
1l83,3.4
1l0a,4.62
1laf,7.85
1lag,6.3
1l2s,4.59
1kti,3.43
1l8g,6.22
1lah,7.52
1lb6,4.08
1lbf,7.85
1kz8,6.08
1l6y,3.66
1l6s,4.41
1lbk,3.18
1lcj,9.0
1l5q,3.97
1l5s,3.26
1ld7,8.96
1l7x,4.04
1lee,7.74
1ld8,8.46
1lan,7.22
1lek,8.89
1leg,7.95
1lf2,7.52
1lf3,7.0
1lf8,5.46
1lfo,6.7
1lgw,4.0
1lhc,10.4
1lhd,9.62
1l5r,4.77
1lf9,12.0
1li2,4.04
1lhe,9.54
1lhf,8.09
1lhg,7.1
1lhu,8.83
1lhv,8.91
1li3,4.25
1lhw,9.08
1lke,7.52
1li6,3.8
1lkk,6.85
1ljt,5.15
1lev,5.6
1lkl,5.81
1lnm,8.7
1ll4,7.22
1llb,6.05
1lol,6.39
1lkx,5.15
1loq,3.7
1lpz,7.6
1lor,11.06
1los,7.19
1lpk,7.55
1lox,5.52
1lpg,7.09
1lqd,8.05
1lqe,5.82
1lcp,6.64
1lst,7.85
1lrh,6.82
1lq2,8.77
1lgt,6.1
1lxf,4.1
1lt6,3.3
1lxh,7.19
1lt5,2.7
1lzq,8.39
1lyb,11.42
1lvc,6.0
1m0b,8.82
1lyx,4.54
1lzo,4.54
1m13,7.57
1lvk,5.92
1m21,6.52
1m2p,6.11
1m2r,6.46
1lqf,8.3
1m2q,6.1
1m48,5.09
1m2x,4.15
1m4h,9.52
1lv8,5.46
1m1b,4.66
1m51,4.73
1m6p,5.1
1m5c,6.3
1m5d,5.04
1lvu,5.32
1m7d,6.23
1m5e,7.7
1m7i,5.4
1m0q,3.89
1m7q,8.59
1m5f,7.83
1mai,6.68
1m7y,10.96
1m83,3.4
1mau,11.3
1me3,7.19
1me4,6.84
1m9n,6.92
1m5w,4.27
1m74,7.0
1maw,1.1
1mem,7.94
1mes,7.7
1met,9.4
1meu,6.1
1mf4,7.99
1mfa,5.04
1mfg,4.3
1mcz,3.0
1mhw,7.35
1mfi,5.59
1mh5,9.21
1mik,6.35
1mfd,5.31
1mj7,8.35
1ml1,4.28
1me8,7.19
1mjj,8.74
1mmq,7.52
1mmp,6.07
1mm6,7.7
1mm7,7.7
1mmr,5.4
1mnc,10.34
1mpl,3.77
1mpa,8.04
1mq1,6.59
1mn9,4.62
1mq5,9.0
1me7,7.19
1mq6,11.15
1moq,3.46
1mdl,3.09
1mqg,6.28
1mqd,6.77
1mqh,6.52
1mkd,6.8
1mqi,7.63
1mrw,9.7
1mrn,4.52
1mqj,5.32
1mrs,3.96
1ms6,9.52
1mrx,7.26
1msm,10.48
1msn,9.09
1mtr,8.4
1mns,4.17
1mui,11.89
1ms0,2.91
1ms7,6.77
1mv0,4.03
1mu6,8.38
1mu8,9.0
1mue,8.64
1mxl,3.81
1mwn,6.7
1mxo,9.0
1my2,7.77
1mwt,1.88
1my4,6.98
1mxu,5.4
1n0s,7.45
1mto,6.96
1my8,7.46
1mzs,5.15
1my3,5.4
1n0t,4.91
1n2v,4.08
1mzc,10.22
1n1t,3.85
1n3w,6.96
1n1g,2.3
1n3z,4.2
1n4h,6.55
1n1v,3.85
1n4k,10.05
1n43,10.55
1n46,10.52
1n5z,4.36
1n4m,6.72
1mx1,4.0
1n7i,6.59
1n7j,6.43
1n7t,6.82
1n8u,6.03
1n5r,5.66
1n8v,6.03
1n1m,5.7
1n7m,5.71
1nax,6.43
1n9m,10.96
1n95,8.92
1n9a,8.66
1n94,8.96
1nc6,8.0
1nc1,6.12
1nde,7.82
1nc3,5.0
1n51,4.85
1ndv,5.92
1ndj,12.16
1ndw,5.23
1ndy,6.17
1nf8,7.82
1ndz,8.11
1nfs,9.92
1nfu,7.74
1nfw,8.96
1nfx,8.52
1nh0,9.74
1nfy,8.89
1nd5,8.4
1ngw,7.68
1nhg,7.3
1nhz,6.08
1nhw,4.84
1nhv,5.66
1nhu,5.66
1nhx,5.68
1nja,6.31
1lrt,5.64
1nj5,7.3
1nj1,7.6
1njb,5.8
1njf,6.21
1njc,5.55
1njd,5.57
1njs,7.82
1m0n,2.22
1njj,2.1
1nje,3.8
1njt,4.82
1nki,6.7
1nju,7.3
1nli,3.59
1nl6,11.32
1nkm,7.3
1nlo,5.47
1nl9,5.96
1nlp,4.96
1nlj,9.8
1nlt,4.92
1nl4,9.41
1nmk,8.24
1m5b,8.01
1nm6,10.05
1nny,7.66
1no6,4.41
1nnu,6.82
1nnk,5.46
1no9,7.62
1nms,6.7
1npa,8.7
1npv,8.24
1m0o,2.31
1nox,7.05
1npw,8.7
1npz,7.89
1nq0,10.32
1nnb,5.0
1np0,3.57
1nq7,6.8
1ntv,5.82
1nqc,7.3
1nt1,8.89
1noi,3.15
1nu3,4.0
1noj,3.15
1nvq,8.25
1nvr,8.11
1nvs,7.82
1nw5,5.21
1nok,3.15
1nw7,5.09
1nwl,2.39
1ny0,5.85
1ny2,2.76
1nym,5.4
1nyx,7.04
1nyy,4.68
1nu8,5.42
1nzl,7.15
1nw4,9.07
1nzv,6.4
1nz7,7.12
1nzq,7.96
1o0d,8.21
1n3i,8.89
1o0f,5.3
1o0m,5.15
1ni1,9.05
1o0h,5.92
1o0n,4.09
1nxy,7.19
1o0o,5.1
1o2h,7.17
1o2j,6.92
1o2g,6.12
1o2k,6.92
1o2n,6.09
1o2p,4.85
1o2o,6.36
1o2t,7.85
1o2r,5.21
1o2q,7.68
1o1s,7.31
1o2s,5.47
1o2u,5.85
1o2v,5.85
1o2w,5.85
1ntk,10.49
1o2x,5.85
1o2z,6.11
1o2y,5.85
1o32,5.74
1o33,5.74
1o30,6.77
1o34,5.74
1o36,5.96
1o35,5.0
1o37,6.82
1o38,6.82
1o39,7.13
1o3c,7.13
1o3b,7.13
1o3e,7.96
1o3d,7.13
1o3f,7.96
1o3g,7.96
1o3h,7.3
1o3i,7.3
1o3j,6.77
1o3l,6.54
1o41,3.05
1o3k,6.77
1o43,5.66
1o42,8.05
1o44,8.52
1o3p,6.66
1o46,8.0
1o45,9.6
1o47,8.4
1o4a,6.92
1o49,6.36
1o48,6.35
1o4d,3.52
1o4b,5.7
1o4e,3.3
1o4g,2.3
1o4h,2.44
1o4i,2.64
1o4k,2.92
1o4f,3.52
1o4j,2.36
1o4m,1.4
1o4l,1.4
1o4p,2.6
1o4q,2.49
1o4n,1.4
1o4r,2.41
1o4o,2.46
1o5p,10.0
1o5a,6.42
1o5b,5.77
1o5c,5.22
1o5f,6.07
1o5g,4.96
1o5e,5.74
1o5r,8.12
1nu1,7.19
1o7o,4.49
1o6h,6.73
1o6q,7.64
1o6r,7.1
1o8b,2.68
1oai,5.0
1o86,9.57
1o5m,8.72
1o79,6.39
1o9k,6.47
1oar,7.4
1o9e,4.18
1o9d,5.6
1oau,7.7
1oay,5.92
1obx,5.72
1o6i,3.19
1oba,2.44
1ocq,5.19
1ocn,6.39
1ody,8.1
1od8,5.1
1oeb,6.93
1oe0,5.16
1ofz,4.62
1oe7,5.52
1oe8,5.52
1ogx,6.09
1ogz,5.85
1oh4,3.74
1ohr,8.7
1ogu,7.47
1odi,4.21
1odj,4.1
1oif,7.72
1ogd,3.03
1oiq,5.54
1ogg,5.19
1oi9,7.16
1oim,5.32
1oj5,6.1
1oir,7.49
1oit,8.52
1okl,6.03
1okx,6.8
1oko,4.54
1oiy,7.19
1oiu,6.68
1oky,8.19
1ok7,5.92
1okz,8.3
1om2,4.7
1okv,6.17
1om9,4.15
1om1,6.77
1okw,5.25
1ong,8.05
1ol1,4.68
1ol2,6.28
1opi,7.3
1onz,5.1
1onh,8.21
1ony,6.77
1oqp,7.3
1oq5,7.68
1ork,8.81
1os0,6.03
1onp,7.52
1oss,4.79
1osv,3.48
1os5,6.85
1osg,7.52
1ouk,9.89
1ols,5.82
1ov3,6.72
1olu,4.41
1ouy,8.37
1ow4,5.68
1olx,4.33
1ow6,5.4
1ove,9.13
1owd,8.2
1ow7,5.4
1owe,6.2
1ow8,5.4
1owh,7.4
1owi,7.55
1owj,7.32
1oxr,5.19
1ox9,5.21
1owk,7.63
1oth,7.0
1oxg,10.57
1oy7,5.36
1oyq,6.96
1oxn,5.68
1p02,7.17
1oyt,7.24
1oxq,6.3
1ozv,1.44
1p01,9.46
1p03,8.19
1p05,5.96
1p04,7.4
1p06,6.27
1p10,6.7
1p17,2.82
1p0y,1.0
1p19,4.11
